stock_code,基金代码,基金名称,持股数(股),占总股本比例
300817,2083,新华鑫动力灵活配置混合A,141.40万,0.97%
300657,362,国泰聚信价值优势灵活配置混合A,788.00万,1.61%
300657,12173,国泰兴泽优选一年持有期混合A,288.37万,0.59%
300657,739,平安新鑫先锋混合A,194.00万,0.40%
300657,8415,国泰大制造两年持有期混合,150.00万,0.31%
300657,5746,国泰聚利价值定期开放灵活配置混合,73.50万,0.15%
300657,512100,南方中证1000ETF,57.58万,0.12%
300657,320003,诺安先锋混合A,40.00万,0.08%
300657,161039,富国中证1000指数增强（LOF）A,39.01万,0.08%
300657,10651,平安双季增享6个月持有债券A,37.65万,0.08%
300657,11807,平安研究精选混合A,36.96万,0.08%
301141,160628,鹏华中证800地产指数(LOF)A,2617,0.00%
301141,656,前海开源沪深300指数A,2617,0.00%
301141,160629,鹏华中证传媒指数(LOF)A,2617,0.00%
301141,6321,中欧预见养老2035三年持有（FOF）A,2617,0.00%
301141,160631,鹏华银行A,2617,0.00%
301141,213010,宝盈中证100指数增强A,2617,0.00%
301141,481009,工银沪深300指数A,2617,0.00%
301141,13381,中欧甄选3个月持有混合（FOF）A,2617,0.00%
301141,501211,民生加银优享6个月定开混合（FOF-LOF）,2617,0.00%
301141,512220,景顺长城中证科技传媒通信150ETF,2617,0.00%
300475,14600,博时回报严选混合A,11.25万,0.03%
300475,12650,博时半导体主题混合A,11.03万,0.03%
301186,1410,信澳新能源产业股票,55.62万,0.76%
301186,14254,信澳智远三年持有期混合A,22.08万,0.30%
301186,12608,信澳领先智选混合,17.03万,0.23%
300270,360001,光大保德信量化股票A,161.59万,0.53%
300270,6195,国金量化多因子A,27.94万,0.09%
300270,14805,国金量化精选A,12.01万,0.04%
300270,11231,光大保德信锦弘混合A,10.44万,0.03%
300270,4457,光大保德信多策略智选18个月混合,1.22万,0.00%
300270,970041,国海量化优选一年持有股票A,9100,0.00%
301007,14232,博时专精特新主题混合A,26.84万,0.17%
301007,15148,华安中证1000指数增强A,9.85万,0.06%
301007,6195,国金量化多因子A,8.10万,0.05%
301007,10584,渤海汇金新动能主题混合,2.96万,0.02%
301007,7903,长城量化小盘股票,2.75万,0.02%
301007,5536,渤海汇金量化成长混合,2.53万,0.02%
301007,5188,海富通量化前锋股票C,2.33万,0.02%
301007,850010,海通量化成长精选B,9300,0.01%
301007,159936,广发中证全指可选消费ETF,8003,0.01%
301007,850007,海通智选B,7300,0.00%
300008,1637,嘉实量化精选股票,70.04万,0.04%
300008,1420,南方大数据300指数A,25.73万,0.01%
300008,11731,国投瑞银安睿混合A,2.37万,0.00%
300008,159836,创300ETF,1.69万,0.00%
300008,15867,国泰君安中证1000指数增强A,3500,0.00%
300008,970041,国海量化优选一年持有股票A,700,0.00%
600463,1990,中欧数据挖掘混合A,88.85万,0.30%
600463,1980,中欧量化驱动混合,61.42万,0.20%
600463,4685,金元顺安元启灵活配置混合,45.48万,0.15%
600463,2305,光大保德信风格轮动混合A,23.50万,0.08%
600463,4495,博时量化平衡混合,12.40万,0.04%
600463,90019,大成景恒混合A,8.65万,0.03%
600463,2772,光大保德信产业新动力混合A,8.00万,0.03%
600463,5443,国金量化多策略A,3800,0.00%
600463,6189,国金量化添利,400,0.00%
600463,6195,国金量化多因子A,200,0.00%
20,6195,国金量化多因子A,14.92万,0.05%
20,14805,国金量化精选A,1.77万,0.01%
20,4457,光大保德信多策略智选18个月混合,100,0.00%
2636,110029,易方达科讯混合,112.81万,0.15%
2703,970041,国海量化优选一年持有股票A,1.93万,0.00%
2703,159936,广发中证全指可选消费ETF,1.52万,0.00%
4,7484,信澳核心科技混合A,4500,0.00%
2976,15326,交银慧选睿信一年持有期混合（FOF）A,4.56万,0.04%
2976,13778,交银兴享一年持有期混合（FOF）A,3.80万,0.03%
2976,14680,交银优享一年持有期混合（FOF）A,1.52万,0.01%
2976,4726,先锋聚优A,6200,0.01%
2261,5412,金信民长混合A,53.84万,0.04%
2261,159628,万家国证2000ETF,29.16万,0.02%
2261,16630,易方达中证1000ETF联接A,400,0.00%
603215,270041,广发消费品精选混合A,21.63万,0.12%
603215,10457,广发睿鑫混合A,19.69万,0.11%
603215,159996,国泰中证全指家用电器ETF,18.29万,0.10%
603215,560880,广发中证全指家用电器ETF,8.65万,0.05%
603215,5381,泰康睿利量化多策略混合A,6.60万,0.04%
603215,165531,信诚多策略混合（LOF）A,3.30万,0.02%
603215,5000,泰康泉林量化价值精选混合A,2.66万,0.01%
603215,561120,家电ETF(家电ETF),1.32万,0.01%
603215,15880,中欧小盘成长混合A,1.00万,0.01%
603215,166107,信澳量化多因子混合（LOF）A,5000,0.00%
2818,5561,创金合信中证红利低波动指数A,144.16万,0.19%
2818,512890,红利LV,66.61万,0.09%
2818,17077,华泰紫金景泓12个月持有期混合发起A,3.69万,0.00%
1309,202027,南方高端装备混合A,115.12万,1.44%
1309,11790,建信创新驱动混合,25.74万,0.32%
1309,9623,长城创新驱动混合A,16.89万,0.21%
1309,308,建信创新中国混合,16.72万,0.21%
1309,1070,建信信息产业股票A,12.83万,0.16%
1309,16013,南方碳中和股票发起A,2.96万,0.04%
600707,510500,南方中证500ETF,906.22万,0.25%
2428,4790,富荣中证500指数增强A,1.75万,0.00%
2428,13437,财通资管中证有色金属指数发起式A,8000,0.00%
2892,360001,光大保德信量化股票A,77.99万,0.25%
2892,159667,国泰中证机床ETF,18.83万,0.06%
2892,159663,华夏中证机床ETF,5.89万,0.02%
2892,11231,光大保德信锦弘混合A,5.05万,0.02%
2892,4457,光大保德信多策略智选18个月混合,6000,0.00%
2892,6048,长城中证500指数增强A,400,0.00%
603110,159944,广发中证全指原材料ETF,1300,0.00%
603110,320003,诺安先锋混合A,28,0.00%
603045,161123,易方达中证万得并购重组指数（LOF）,9.63万,0.07%
603045,970041,国海量化优选一年持有股票A,4.97万,0.04%
2134,233009,大摩多因子策略混合,69.95万,0.28%
2134,6195,国金量化多因子A,32.65万,0.13%
2134,14232,博时专精特新主题混合A,29.38万,0.12%
2134,9246,大摩ESG量化混合,7.66万,0.03%
2134,14805,国金量化精选A,3.03万,0.01%
2134,11231,光大保德信锦弘混合A,100,0.00%
603048,6195,国金量化多因子A,2.70万,0.02%
603048,159936,广发中证全指可选消费ETF,3100,0.00%
603048,880,富国研究精选灵活配置混合A,464,0.00%
603048,1411,诺安创新驱动混合A,464,0.00%
603048,1726,汇添富新兴消费股票A,464,0.00%
603048,1816,汇添富新睿精选混合A,464,0.00%
603048,2419,汇添富创新活力混合A,464,0.00%
603048,2560,诺安和鑫混合,464,0.00%
603048,2703,长城久源混合A,464,0.00%
603048,2746,汇添富多策略定开混合,464,0.00%
603667,920003,中金新锐集合计划A,343.84万,1.05%
603667,90002,大成债券A/B,10.51万,0.03%
603667,90017,大成可转债增强债券,6.70万,0.02%
603667,15856,格林碳中和主题混合A,3.00万,0.01%
603667,15289,格林高股息优选混合A,1.03万,0.00%
2403,165531,信诚多策略混合（LOF）A,5.50万,0.02%
2403,6195,国金量化多因子A,5.02万,0.01%
2403,14805,国金量化精选A,1.62万,0.00%
2403,11589,九泰天利量化A,1.42万,0.00%
600719,5443,国金量化多策略A,6300,0.00%
600719,6189,国金量化添利,1500,0.00%
600719,6195,国金量化多因子A,200,0.00%
300128,7685,华商电子行业量化股票发起式,116.30万,0.11%
300128,159939,广发中证全指信息技术ETF,46.81万,0.04%
300128,159628,万家国证2000ETF,24.37万,0.02%
300128,8072,景顺长城创业板综指增强,14.75万,0.01%
300128,15867,国泰君安中证1000指数增强A,5.15万,0.00%
300128,11589,九泰天利量化A,2000,0.00%
300128,942,广发信息技术联接A,1500,0.00%
961,510500,南方中证500ETF,1288.74万,0.34%
961,512200,南方中证全指房地产ETF,1257.48万,0.33%
961,4702,南方金融主题灵活配置混合A,1248.15万,0.33%
961,14500,华宸未来稳健添盈债券A,42.67万,0.01%
838,512200,南方中证全指房地产ETF,292.92万,0.27%
838,4702,南方金融主题灵活配置混合A,154.51万,0.14%
838,515060,华夏中证全指房地产ETF,42.65万,0.04%
838,16553,南方鑫悦15个月持有混合A,34.40万,0.03%
838,12426,南方价值臻选混合A,14.13万,0.01%
838,4703,南方兴盛先锋灵活配置混合A,13.17万,0.01%
838,1536,南方君选灵活配置混合,12.73万,0.01%
838,1181,南方改革机遇灵活配置混合,11.81万,0.01%
838,202213,南方核心竞争混合,7.30万,0.01%
838,13590,南方比较优势混合A,3.77万,0.00%
301163,320011,诺安中小盘精选混合,2764,0.00%
301163,7146,鹏华研究智选混合,2764,0.00%
301163,8132,鹏华价值驱动混合,2764,0.00%
301163,9069,大成睿鑫股票A,2764,0.00%
301163,10264,鹏华成长智选混合A,2764,0.00%
301163,10371,大成成长进取混合A,2764,0.00%
301163,10929,大成核心价值甄选混合A,2764,0.00%
301163,12473,大成成长回报六个月持有混合A,2764,0.00%
301163,14269,嘉实北交所精选两年定期混合A,2764,0.00%
301163,160607,鹏华价值优势混合(LOF),2764,0.00%
300283,13641,博道成长智航股票A,127.01万,0.29%
605005,159936,广发中证全指可选消费ETF,3400,0.00%
605005,9736,汇添富稳健收益混合A,634,0.00%
605005,160805,长盛同智优势混合(LOF),634,0.00%
605005,470098,汇添富逆向投资混合A,634,0.00%
605005,501188,汇添富核心精选混合（LOF）,634,0.00%
605005,4986,鹏华策略回报混合,634,0.00%
605005,5937,工银精选金融地产混合A,634,0.00%
605005,6972,金鹰民安回报定开A,634,0.00%
605005,10371,大成成长进取混合A,634,0.00%
605005,1726,汇添富新兴消费股票A,634,0.00%
301068,3293,易方达科瑞混合,171.89万,2.05%
301068,11649,易方达逆向投资混合A,107.64万,1.28%
301068,7346,易方达科技创新混合,90.31万,1.08%
301282,5939,工银新能源汽车混合A,87.23万,0.58%
301282,2236,大成中证360互联网+指数A,23.54万,0.16%
301282,485114,工银添颐债券A,20.00万,0.13%
301282,4413,建信民丰回报定期开放混合,5000,0.00%
301359,9885,新华景气行业混合A,3271,0.00%
301359,15137,国富均衡增长混合A,3271,0.00%
301359,12301,易方达核心智造混合,3271,0.00%
301359,828,宏利转型机遇股票A,3271,0.00%
301359,13341,工银核心机遇混合A,3271,0.00%
301359,14874,惠升惠远回报混合A,3271,0.00%
301359,10264,鹏华成长智选混合A,3271,0.00%
301359,960,招商医药健康产业股票,3271,0.00%
